issue_id,category,scope,problem_statement,evidence,responsibility_role,disposition,status,delivery_tier,in_scope_now,last_reviewed
GOV-001,governance,all scripts,分析模块持续扩张会导致验收标准漂移,用户要求冻结脚本版本并建立总表,分析开发人员,冻结当前实现并只允许四类修复,resolved_verified,T1,yes,2026-09-23
GOV-002,method_substitution,Figure2b MCL,曾用Louvain替代原方案MCL,原方案R MCL 1.0已安装且mcl_communities.R生成ppi_summary.json,分析开发人员,恢复原方案MCL并记录inflation,resolved_verified,T2,yes,2026-09-23
GOV-003,method_substitution,Figure4f CellChat,曾用显式配体受体评分替代R CellChat,CellChat 1.6.1已安装且cellchat_analysis.R输出cellchat_r_summary.json,研究负责人及分析开发人员,恢复原方案R CellChat并限制细胞级概率解释,resolved_verified,T2,yes,2026-09-23
GOV-004,method_substitution,Figure4g scTenifoldKnk,曾用局部GRN替代scTenifoldKnk,scTenifoldKnk 1.1 R包已安装且sctenifoldknk.R输出diffRegulation,研究负责人及分析开发人员,恢复原方案R scTenifoldKnk且失败时blocked不静默替代,resolved_verified,T2,yes,2026-09-23
GOV-005,method_substitution,Figure5b interaction analysis,曾仅有几何候选接触,PLIP 3.0.1已安装且fig5b_status.json记录验证状态,结构模拟人员,真实docking pose存在时运行PLIP并保存相互作用表,resolved_verified,T2,yes,2026-09-23
GOV-006,governance,T2 cohort gate,仅有Panel问题表不能证明cohort和授权数据已冻结,delivery_readiness将读取cohort_freeze.json并要求frozen_complete,研究负责人及分析开发人员,未完成冻结时T2保持not_run,resolved_verified,T1,yes,2026-09-24
DAT-001,data_alignment,GSE89632,HC与SS加NASH对比曾只计算NASH减HC,合成方向测试和真实数据核查通过,分析开发人员,已修复并保留设计矩阵与回归测试,resolved_verified,T1,yes,2026-09-23
DAT-002,data_alignment,GSE164441,肿瘤与癌旁必须按患者配对,HCC数据核查为10名患者10对配对样本,分析开发人员,使用患者配对设计并保存配对检查表,resolved_verified,T1,yes,2026-09-23
DAT-003,data_alignment,GSE135251,队列曾用于开发时不能称为完全未接触外部验证,配置登记既往分析暴露,研究负责人,限定为同终点候选并如实披露既往暴露,limited,T2,no,2026-09-23
DAT-004,data_alignment,GSE49541,纤维化分期不是健康与NAFLD同终点验证,方案和运行时警告已记录,研究负责人,仅作为跨终点纤维化关联,limited,T2,no,2026-09-23
DAT-005,data_alignment,GSE164441,肝癌与癌旁不是健康与NAFLD终点,方案和运行时警告已记录,研究负责人,仅作为HCC扩展分析,limited,T2,no,2026-09-23
DAT-006,data_alignment,GSE270583,NCD仅一个文库且HFD两个文库不足以证明独立动物重复,官方样本清单显示NCD1 HFD2 JQF1,研究负责人及分析开发人员,疾病显著性推断标记blocked仅保留描述性结果,blocked,T2,no,2026-09-23
DAT-007,data_alignment,GSE202379,多文库患者不得按GSM数量增加样本量,修正后SOFT解析为59文库47患者,分析开发人员,按donor合并并审计更正元数据,resolved_verified,T1,yes,2026-09-23
DAT-008,data_alignment,Figure4f CellChat,小鼠AnnData基因名为大写而CellChatDB.mouse符号为标题式,真实h5ad运行首次返回0个LR对；case-insensitive映射后恢复到1057个数据库基因,分析开发人员,按数据库符号大小写映射并记录文件,resolved_verified,T1,yes,2026-09-23
DAT-009,data_alignment,Figure4f groups,JQF是独立干预臂不能并入NCD或HFD,"R CellChat summary记录requested_groups=NCD,HFD且excluded_groups=JQF",研究负责人及分析开发人员,固定组别过滤并保留排除记录,resolved_verified,T1,yes,2026-09-23
DAT-010,data_alignment,cohort manifest,计划阶段占位清单不能直接当最终样本清单,cohort_freeze区分draft和frozen及validation_errors,分析开发人员,最终冻结前禁止planned行和未解析患者或动物ID,resolved_verified,T1,yes,2026-09-24
DAT-011,data_alignment,GSE164441 donor mapping,patient字段中的651N和651T会被误算为两个患者,真实旧数据donor_mapping复算后20个文库归并为10名患者,分析开发人员,去除N或T后缀并按配对患者校验tumor与adjacent_normal,resolved_verified,T1,yes,2026-09-24
STA-001,code_defect,ML pipeline,插补缩放与特征筛选曾可能使用全队列信息,嵌套CV和训练折内预处理测试通过,分析开发人员,冻结模型流程并保留outer-OOF预测,resolved_verified,T1,yes,2026-09-23
STA-002,code_defect,external validation,外部队列重新排名会改变冻结模型输入,外部验证不再执行队列级重排,分析开发人员,使用冻结预处理器和患者级区间,resolved_verified,T1,yes,2026-09-23
STA-003,code_defect,single-cell inference,细胞级检验会把细胞数当生物学重复,单细胞代码改为donor或sample汇总,分析开发人员,重复不足时只输出描述性结果,resolved_verified,T1,yes,2026-09-23
